aliexpress_id,name,description,price,compare_price,category,stock,active,badge,rating,review_count,slug,seo_title,seo_description,keywords
1005010171418964,Magcubic HY300 Pro 8K Projector Android 14,Compact projector Android 14 with 8K support WiFi 6 Bluetooth 5.4 and 290 ANSI lumens. Ultra-compact design perfect for travel.,109.99,149.99,Proyectores,999,true,NEW,4.7,89,proyector-magcubic-hy300-pro-8k-android14,Proyector Magcubic HY300 Pro 8K Android 14 Aizua,Proyector compacto Android 14 soporte 8K WiFi 6,proyector 8k android 14 magcubic
1005009911214609,X10 Bone Conduction Sports Headphones IPX8 32GB MP3,Bone conduction technology IPX8 submersible 2m with 32GB built-in MP3 Bluetooth 5.3 and HIFI Bass. Perfect for swimming and sports.,89.99,119.99,Audio,999,true,HOT,4.6,312,auriculares-conduccion-osea-x10-ipx8-32gb,Auriculares Conduccion Osea X10 IPX8 32GB Aizua,Auriculares conduccion osea IPX8 32GB MP3 natacion y deporte,auriculares conduccion osea ipx8 natacion
1005008564519949,ALLPOWERS R600 Portable Power Station 299Wh LiFePO4,LiFePO4 299Wh battery with 3000 plus cycles. Two 600W AC outputs with 1200W peak. Full charge in 1 hour. Solar compatible. Ideal for camping and emergencies.,349.99,449.99,Energia,999,true,,4.8,203,allpowers-r600-estacion-energia-299wh,ALLPOWERS R600 299Wh Estacion Energia Aizua,Estacion energia portatil 299Wh LiFePO4 600W AC camping y emergencias,estacion energia lifepo4 camping solar
1005003212270630,Xiaomi Redmi Watch 5 Smartwatch Bluetooth AMOLED,2-inch AMOLED display with direct Bluetooth calls. Continuous heart rate and SpO2 monitoring. 100 plus sports modes. 5ATM water resistance. Android and iOS.,79.99,109.99,Wearables,999,true,NEW,4.7,445,xiaomi-redmi-watch-5-smartwatch-bluetooth,Xiaomi Redmi Watch 5 Smartwatch Bluetooth Aizua,Xiaomi Redmi Watch 5 AMOLED 2 pulgadas llamadas Bluetooth,xiaomi redmi watch 5 smartwatch bluetooth
1005007425600001,Flexible Monocrystalline Solar Panel 12V Waterproof,High efficiency flexible monocrystalline solar panel for curved surfaces. Waterproof with MC4 connector. Lightweight and rollable. Available from 100W to 600W.,119.99,159.99,Energia,999,true,,4.5,178,panel-solar-flexible-monocristalino-12v,Panel Solar Flexible Monocristalino 12V Aizua,Panel solar flexible impermeable 12V de 100W a 600W,panel solar flexible 12v barco autocaravana
1005007542155658,Magcubic Universal Tripod Stand for Mini Projectors,Portable extendable stand for Magcubic mini projectors. Adjustable height. Lightweight for travel. Compatible with HY300 Pro HY310 HY320 and quarter inch thread projectors.,34.99,49.99,Accesorios,999,true,,4.6,67,soporte-tripode-universal-magcubic,Soporte Tripode Universal Magcubic Proyector Aizua,Soporte tripode extensible para proyectores Magcubic HY300 HY310 HY320,soporte tripode magcubic proyector universal
1005007914556601,Smart WiFi RGB LED Strip App Control Music Sync,Transform any room with millions of RGB colors. Phone app control with music sync. Compatible with Alexa and Google Home. Strong adhesive. Available in 5m to 30m.,24.99,39.99,Hogar Inteligente,999,true,HOT,4.7,1840,tira-led-rgb-wifi-inteligente-app-musical,Tira LED RGB Inteligente WiFi Sincronizacion Musical Aizua,Tira LED RGB WiFi con control por app y sincronizacion musical. Compatible Alexa.,tira led rgb wifi alexa decoracion habitacion
1005007938960627,3D Moon Lamp LED 16 Colors Remote Control Night Light,3D moon lamp with 16 different colors controlled by remote. Soft light ideal for bedroom and bedside table. Textured surface mimics the real moon. USB charging.,49.99,79.99,Hogar Inteligente,999,true,BEST SELLER,4.8,2240,lampara-luna-3d-led-16-colores-mando,Lampara Luna 3D LED 16 Colores Mando Aizua,Lampara luna 3D con 16 colores y mando a distancia. Perfecta para dormitorio.,lampara luna 3d led 16 colores dormitorio
1005006460405708,ASMR Rain Cloud Humidifier LED Light Aroma Diffuser,Cloud-shaped humidifier that simulates rain with relaxing ASMR effect. Multicolor LED light and essential oil diffuser. 350ml tank. Remote control. USB type-C.,39.99,59.99,Hogar Inteligente,999,true,NEW,4.6,880,humidificador-nube-lluvia-asmr-led-aromas,Humidificador Nube de Lluvia ASMR LED Difusor Aromas Aizua,Humidificador nube ASMR con luz LED y difusor de aromas. Relajante y decorativo.,humidificador nube lluvia asmr led aromas
1005008204965685,Sunset Projector Lamp Ambient Twilight Light Decoration,Projector lamp creating a stunning sunset visual effect in your room. Warm ambient light perfect for photos and relaxation. Magnetic base with 360 degree rotation. USB powered.,39.99,59.99,Hogar Inteligente,999,true,,4.7,560,lampara-proyectora-sunset-atardecer-decoracion,Lampara Proyectora Sunset Atardecer Decoracion Aizua,Lampara proyectora de atardecer para decoracion. Perfecta para fotos y relajacion.,lampara sunset proyector decoracion dormitorio
1005009578856878,LED Jellyfish Lamp 7 Colors Night Light Fantasy Decoration,Lamp with jellyfish changing between 7 different colors with hypnotic relaxing effect. USB or battery powered. Ideal for bedroom and living room. Perfect decorative gift.,54.99,79.99,Hogar Inteligente,999,true,,4.8,430,lampara-medusas-led-7-colores-fantasy,Lampara Medusas LED 7 Colores Fantasy Aizua,Lampara de medusas LED que cambia 7 colores. Decoracion hipnotica para dormitorio.,lampara medusa led 7 colores decoracion
